seller_n_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x75ab4971d3da0e571747c755cdab4ecaf956e45c,60,1139.3230092592592,196.43880707146783,4876769,70983871723.8,91759.48333333334,0.0408829098968153,0.06268601883073713
0x0b2c327046b9f66e11752d1220bed0712b0d0188,2709,1467.8111458333333,7790.063059464938,433419174,96061929806.83426,323265.911406423,44.232862248,21.865621754267956
0x53774b5e18cbda65fdcfa9ee4e6645c5664a04cb,561,1462.176273148148,2200.552291779238,80371568,97661679156.19252,274415.26024955435,3.600322,10.799892709335403
0x9da0cd0e279e823ddde467bc5a44882370656ba2,46,1447.2158449074075,3.8596085733556498,3698273,80441919484.67392,110188.84782608696,0.051024609995122996,0.07482052184358294
0x42548a143764550be44273dffb098103625fd965,788,1461.2467939814815,463.03344545484396,69995074,69589942563.38832,117597.89340101523,0.04719145578076235,0.09655967241432932
0x603bab762cf4c7ef20dc41278c46b718375cfbbe,331,1437.066412037037,520.874872253517,34037171,77011961406.65862,140168.38972809666,0.06300000000000001,0.1195867885679685
0x7ef61cacd0c785eacdfe17649d1c5bcba676a858,10000,1335.0257060185186,5135.743029088238,1246009774,105748873858.277,185525.6384,0.11000000000000001,0.33
0x820c38acb5cd0e19601632efbc6b54a48bfa2d35,889,1171.7591666666667,1421.2342774444312,93390489,29984654088.505062,146913.0449943757,0.16,0.34698703145794946
0xea345c81285b5fa8442d7df97b95c453f2d2b70d,105,1302.6257986111111,112.559,10521016,62676851148.37143,130900.21904761904,0.983,2.949
0xa2e81f9f15f130898c27531c4323506e34c13e3c,228,1255.994398148148,1179.7670800050266,41251010,66864469994.73245,250002.79385964913,0.1901,0.41092832708393323
0xa5791ab3fdae34be179c050ea42df6f205d58d58,1033,2601.6779976851853,898.5218189570234,95107591,69297490253.9758,118180.52855759923,0.6077845252803918,0.5683972584947902
0x7b8a6e7777793614f27799199e32e80f03d18dbe,10000,1294.3626388888888,4399.347520541643,1760945853,88684416250.1719,256441.6906,0.2009,0.30604132073953677
0xbcd8e531ad4a79ac8c8607516daa7f3bb9f32c1f,5,149.5333449074074,588.0185468,133648,10208118449.2,41603.4,117.60370936000001,235.19814542876514
0x06488c021b44b2cb1e6f134167b1a56297edd7c1,2101,1337.4875462962964,4067.0022069280717,333052787,95438981586.92622,251771.65730604474,0.3784983188974806,0.7290079258417326
0x80de2f874067b092bcb914144efbe1b54a731f4d,1731,1255.1464351851853,68312.47789523606,271345528,66037192806.68342,219419.93125361062,3.3438880392317407,4.684648053177618
0xe10f51d037227724d4a1cae77a1a62d2c5e5f2f9,740,1367.8400231481482,161.89394714649163,77846971,75412703806.69054,136655.7054054054,0.0439998,0.07841554437967004
0x0df0c5aeba738518e91854631ea38db449e06b1c,991,2813.695636574074,7806.106883997722,169950871,63143111232.35318,286653.7426841574,2.9285645353099303,4.170897294375911
0xa91a74cf5674ec026c737b2dc0ffe01565166310,378,1378.1339699074074,270.25735595269356,45487898,57575556063.82011,152073.67195767196,1.2,1.6
0x80f039085f78fff512a1ede6d25ec64927392888,5718,1437.5368171296295,1222.7512629471385,737342676,32953067367.326862,140109.63203917452,0.04251646324198781,0.11590952375105311
0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,4846,2060.0706944444446,21484.488555913365,879707977,55156614322.77115,246995.96822121338,0.25,0.75
0x090ce57968ce977162c29f017c8f779fee2b0609,117,1299.8783796296295,85.78250302331267,12945926,69435720728.90598,138201.88034188034,2.6796096485850294,7.55208195621279
0x1d9bbe22c3710676214c96191e7fdf7ae067eb4a,40,733.510011574074,51.4199,5483671,12749246344.025,184535.425,0.6,1.4966629547095767
0x239b2f0827ad8fbb40460e9f49eea75580823b50,182,1136.4710185185186,1070.2468120080787,16478114,34918908081.82967,119381.0054945055,0.04613608500264422,0.12702842480232437
0x4851512de5bd4d035a56eb95bb4709452091cac7,1200,2572.581076388889,14480.84450525914,97859808,69386090004.86667,118079.085,0.07864548,0.11853095144123159
0xbcbd4885ee8b2b74249c5ad9b8b668fb256a51b1,4083,2858.773761574074,5785.059303280696,822096991,28923589546.37595,356366.3164339946,0.01295253647182992,0.013805235017393868
0x1d24495af5481a8fb7c8f9337ea70d73fa65a6e9,162,1408.8112962962964,264.30099723494544,22326302,52060654152.57407,165777.54938271604,0.5018999999999999,0.8856932256712816
0x15cc2937c4906bd1f1045de3fdd95eecfc8eb6fc,195,747.311400462963,404.3834945897898,36637349,42178943040.97436,265920.92307692306,6.4180970678022815,11.067858191038221
0x586f4a17c9b3765811de88a9d5cfb77187ae631d,797,2641.175277777778,410.39936107956413,125126530,55066406205.42158,199578.71894604768,0.001,0.003
0x4347fa8364f2e4db102679bce37571ee9166550a,58,967.2378125,209.17637115408522,7319831,25086484830.25862,168538.0344827586,0.34004047,0.5735266870341676
0x7668cc46779646cb52dc20431c495071a74a3c10,31,1313.6090509259259,81.14249502445558,2029394,115261032457.12903,70551.0,0.028433039520717747,0.08529911856215325
0xb13f1ddbed4cc01f7330c95e406d775e25dac5b7,6,1148.247326388889,82.96000000000001,527882,123944716565.16667,107860.5,13.826666666666668,22.683390888979147
0x7e5ab36876a267560e7191cedbe99ee7bc04bc30,768,1259.7738541666668,827.3153250261887,84974772,45944432068.00651,141523.734375,0.014274987942810388,0.022010899509119743
0x6ec30fd91a504aad948839b985c7263888b2ad68,4323,1455.1145717592592,36536.04040950418,743783818,68938768652.2341,251734.80638445524,0.0,0.0
0xda2d2e99198fabf46d7e3fddc76a6e26e244eb73,12,18.19417824074074,15.183528244993626,2345206,821362817.75,258821.75,0.012,0.036
0x24657d11f518c8420e1065f251b6b1faa700cc6c,524,823.4072337962963,366.3722052818307,162620576,26972960879.305344,468719.820610687,4.234894810521172,12.58875465305389
0x244bef5af19d7969280706f37327d01f7ca28d81,96,1125.8739236111112,419.1512722030679,6959497,27116904848.354168,103696.27083333333,3.224002700642006,9.592266045238432
0xf0894a655645204db50d1d0f0b3d38011f9cfa16,216,1163.6091666666666,316.3637826,31820730,37068006116.75,182269.75925925927,0.0,0.0
0xba103b94077534b162664051fb32bbf8b82632de,91,859.0283449074074,786.425,15206969,20432290054.78022,233197.64835164836,6.009,11.289283812536558
0xafe900f6771cb5522d8c41cf51c0a0d637b71d5e,519,1232.182326388889,3112.973228336701,60575008,28812535803.26397,159958.38921001926,0.0,0.0
0x1bfd31e56b7c9471b52ba297d28eb2173e41d734,450,1515.3830324074074,8072.8958321920145,48963755,86388128658.3,160564.49333333335,3.17532840574136,4.549371998064893
0xa6eb5fead072bfea78395957c1d40770eeba8118,160,992.5612731481482,268.2825865210304,14429614,20961200291.86875,117533.2375,0.07000000002,0.20999999999333335
0xdb11fc9a8d43067173fab71dac7d8c8ccacf9172,86,1265.8336458333333,107.78331427397684,5220154,57002659313.26744,83179.66279069768,0.5011340157943078,0.8826198509825648
