token_id,rarity.rank,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
9901,1948,Purple,Tie Dye,,Crazy,Dark Brown,Cowboy Hat,Bored Unshaven Kazoo
9890,951,Purple,Rainbow Suspenders,,Wide Eyed,Tan,Girl's Hair Pink,Bored Cigar
9900,9074,Purple,,Silver Hoop,Bored,Dark Brown,Bayc Flipped Brim,Bored
9865,2153,Army Green,,Silver Hoop,3d,Pink,Faux Hawk,Rage
9889,3814,Orange,Bandolier,,3d,Brown,Bayc Hat Black,Small Grin
9868,1027,Orange,Black Holes T,Silver Hoop,Angry,Brown,Safari,Phoneme Oh
9888,3375,Gray,Tuxedo Tee,,3d,Dark Brown,Fez,Bored Unshaven Cigar
9842,7584,Purple,Guayabera,,Bored,Red,Baby's Bonnet,Bored
9841,1297,Army Green,,Cross,Robot,Gray,Beanie,Phoneme Oh
9840,7984,Orange,,,Bored,Gray,Beanie,Bored Unshaven Pipe
9839,9132,Purple,Lab Coat,,Wide Eyed,Golden Brown,,Bored
9838,7598,Gray,Toga,Silver Hoop,Bored,Gray,,Bored Unshaven
9837,6655,Purple,Leather Punk Jacket,,Wide Eyed,Black,Irish Boho,Bored Unshaven
9836,8874,New Punk Blue,,,Bloodshot,Pink,Spinner Hat,Bored Unshaven
9835,8069,Blue,Tanktop,Silver Hoop,Bored,White,,Bored
9834,1561,Yellow,Leather Punk Jacket,Gold Stud,Bloodshot,Gray,Faux Hawk,Bored
9833,1865,Aquamarine,Puffy Vest,,Blindfold,Zombie,Commie Hat,Jovial
9832,2089,New Punk Blue,Stunt Jacket,Silver Hoop,Sunglasses,Black,Faux Hawk,Bored Unshaven
9831,6841,New Punk Blue,Striped Tee,,Bloodshot,Zombie,Bowler,Bored Unshaven
9864,5107,Purple,Cowboy Shirt,,Bored,Brown,Laurel Wreath,Grin
9830,998,Blue,Biker Vest,Gold Stud,Angry,Robot,Bayc Flipped Brim,Bored Unshaven
9863,947,Blue,Smoking Jacket,Gold Stud,Sleepy,Pink,Bayc Hat Black,Dumbfounded
