seller_n-1_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0xa0b4d4f530c77d05f6071d1cad416ce0e48669b6,2236,1473.2185416666666,908.1369839592817,253091695,59343177688.838104,157473.3792486583,0.04019622761887922,0.12058868285663768
0xd23b06012790e2d8e01a7607127588b609c27f0c,3631,1449.7806365740742,1549.5999833838493,376206218,50457791105.947945,132719.50647204625,0.0978192961363509,0.2677631518583083
0x63748140c409b490952c37dae5a60715bf915129,5250,1453.4688078703705,11657.785356611437,1530435297,89889187055.2421,411587.8441904762,0.493,0.9932980418786701
0x722a0dc0b61108d24e0cd2459eb86b08b77e7de1,459,1188.0439583333334,861.9693054152561,80327781,39799249251.72549,233906.25490196078,0.05226354724859365,0.15679064174578097
0x04686dfb7ac42de80b9386acbd1fe20c551e239d,290,1406.0830902777777,673.9627616601939,22183072,112446888512.00345,105672.9551724138,0.1584879934662405,0.2961597823704078
0xc7a3fc4e2618cccab5e01963d7e2a8a208812f59,984,1291.7041203703704,16122.188756728337,292519172,36982811644.79573,474946.3150406504,0.01426,0.042780000000000006
0x412b7f53613be5d29e112e5a23f8d52b1e77eeb6,1170,851.5358449074074,107141.03151848,247246270,35727147863.11624,295558.3299145299,0.037,0.08319254774317228
0xa6e3475e2d4a9937b61be131407598ed188b54f3,1205,1906.2038657407406,2147.7121105661204,170324046,78930604887.72614,198246.27800829874,0.72,1.5367498169838838
0x9cff9a8f1315d9091a690277961f169162470af0,335,1285.267326388889,2135.1515099995922,45868993,103713994118.63284,193661.4895522388,1.2730935555797456,3.557840895849394
0x7bb7f0860d691c6fd64bd228d0c4cd5c639d4c42,504,581.878900462963,361.6235377665967,42042664,25808226720.325397,109245.20833333333,0.233386,0.32054801350811707
0xe6d46e18aa94dd2fc7371773a6e6cae05c109262,602,378.10792824074076,1389.1627833147393,18423588,12251035689.488373,42240.44352159469,0.41711276066386294,0.6062895960721693
0xf76a10230bbfe868650165e7128fd16c18e9054d,416,1133.7664467592592,1380.8256538,71585014,47915164449.99519,212713.0,6.207,15.286387441118977
0x299d5200417b4a65ac324c3e455cf34fe9229afe,295,1487.492488425926,111.87122076571458,30509546,99221238795.49153,169759.90169491526,0.1998104063,0.23661309242945402
0xc607bb7fe0ff55717c45ffe3096ec3cfad7b4788,468,608.4784837962962,735.1825801847205,41635385,38322016260.4188,123946.51282051283,0.901,1.315503325727457
0xfdf82846ad0bf80a0e7be59c1752c55e448aef25,2347,49.249456018518515,1720.8332519502933,325241256,3703733521.905837,170056.60630592244,4.152987212932944,6.884034475578544
0xebd79cd26481c1824acfd6e043c5a3b013734105,354,762.3165393518518,2235.1055293220934,34993402,113004660944.66385,166826.87288135593,10.942844119377657,12.69419412481972
0xedebca97e50be56d59d2a694cce40876c5b05344,289,1109.9652662037038,158.346,22758849,55267932668.29066,88891.04152249134,0.16699999999999998,0.501
0x09238a2aa20600e9773990677d17fef91e688523,6368,1856.1236689814814,3844.9456528499345,660735202,85071213566.6228,144320.98916457288,0.28348826190545745,0.3613545676956867
0x99b24c45532f918e24ebf80781798bbe761a1e3e,205,1405.1311805555556,382.3488356725729,24400224,54718623072.93171,156106.86829268292,0.5654899999999999,1.6188945119741436
0xb12821443a13e10cbb046d910dff4e2a61257e6c,148,790.3816782407407,674.6276204842131,16060494,28017030385.655407,170394.89864864864,0.12510481494695253,0.2465075149906531
0xdd7f4ef0a603ea490c52173d301d83bf7931d90c,242,1405.4967939814815,419.5944746972013,28874400,90930836762.66528,177956.40495867768,2.9604478201132194,6.964026273306981
0x78d8916aada3e0d34755a7a6bfa36ad1779b3326,22,883.2415393518519,71.890872,1055153,37978133960.63636,57410.954545454544,0.1660872,0.28175012694683915
0x5928e093728b53a5ec97c6f06cdcebc23e896dc0,942,1312.6204166666666,2093.917164393594,138494456,37435894763.01486,322140.7388535032,0.0001,0.00030000000000000003
0xd61c66607c0ba44172bd5c5f5b7c0fd79d64c6c8,4059,1546.0421296296297,2337.714228604731,459183380,67051688275.691055,162618.42498152255,2.2087281,4.413291174686584
0x686affdc0b3d8fbe7355829bd454b5393329f6c7,8,360.10153935185184,11.372830991272119,472477,20070080830.375,62488.875,1.4216038739090149,3.748815398698865
0x65dea397155cc7b8076efee2580e8f55b8b44254,18,367.57806712962963,25.496722978280047,1343328,39469750862.27778,119050.27777777778,2.4498503614640224,7.015880789281369
0xc5825a27a03ff2fba429f49d7e337c4d4dd39400,693,1151.0556018518519,398.9532657242047,71810414,61867146850.19336,144820.56565656565,0.5549999999999999,1.1145514792955953
0x6bdc7eec67ca4b1c7021c1b2d9d5e6a9897521d9,1101,1412.7113425925927,472.0434134670778,179078099,102944693365.89919,230008.1553133515,0.012733132545044707,0.017327282995177058
0xe0bce02c802233389c3c5309d279241c0638d90b,1496,1984.2178703703703,4125.042148527307,269191580,81722540351.33289,267652.2814171123,0.1,0.30000000000000004
0xfded90a3b1348425577688866f798f94d77a0d02,3523,1367.0140393518518,5231.057449558061,830287468,68576573719.673004,320581.1177973318,0.01,0.030000000000000002
0x0635963f8322eb7afe497ea3e9b6d3f8c862289a,1270,1478.3865856481482,4631.368369059077,109498760,101935128331.24724,127538.35275590551,0.033190000000000004,0.07540440570682858
0x13f8a4d665cf2b09a2ddb8c3446eb73e94115296,112,396.39153935185186,566.3792223280426,12791225,44264180215.45536,161914.10714285713,1.16,2.328712090405338
0xac707ee01a605bfc712536d703e5e790357c48e5,3592,1340.6781597222223,2872.065020695163,487608432,78496680962.92706,177492.98190423162,0.0393071352624029,0.08623876047492642
0x51f65bf2e46401d2d6819f8fdaf5959f386c8dc3,385,1466.951111111111,1954.2198899595878,47813023,97634423007.9922,189774.62077922077,0.36474071777225575,0.9119392849759659
0xabf9984f06799c7d9378628e31136b321d159318,1477,1522.2662152777777,1224.104519806018,250301078,126953790775.07718,233406.29722410292,0.159682294,0.2671517835873867
0xc58d63d59ad68930c9fdff6f1ac479c5c9941ef4,5301,815.7708449074074,14420.913622378612,1503227161,22539079239.495754,375896.69515185815,0.006897317825148343,0.02069195347544503
0xfc48426da0338735945badef273736ccff53a358,2198,1337.976076388889,7118.805570716592,423214922,81031167675.46861,249821.0805277525,0.251486898727157,0.6194319228338518
0x26b292487cfe8afda97ffe84d258319d993a0283,884,1454.015173611111,826.4660508825331,142300633,67792725044.63461,284536.58484162897,2.7,6.132699242584786
0xf696ab3e4f9d52482b8350ffae67d21fda78e601,1358,1323.2019907407407,4090.4923086795147,123263093,22583633248.34536,98853.76951399117,18.48,30.141559349177673
0xb19e05cfbcbc1928bd058f527ec7cdc118d3e541,132,1308.7650347222223,237.92845266669136,14626660,54010825729.992424,151338.19696969696,3.9300001,8.216087829009625
0x4647751053e6d120afa9be50a63e7a49d4f8af08,374,1302.9481134259258,3669.258819183586,43040389,104500525950.3369,155256.48663101604,0.006,0.018
0xd8d3d8ab22e30c5402ab2a2e216a4a53f4e09e9e,3632,2764.547337962963,21352.90982880811,335888297,73100169757.43282,147263.76817180618,0.022459573230115708,0.06737871969034712
0xd49322add203c8e04acdd53b7ff14b5e0ac861d7,5633,1413.2534606481481,1160.405963346832,1121358339,56009025497.01953,267412.0143795491,0.316965018,0.358915881037427
0x88f1b4172aa512d21f4239a86e0fc2b3eff133ad,472,1408.718900462963,584.3838868258583,48837625,53205679470.004234,127385.09957627118,7.157244946671497,15.62922565467661
0x2bed8372eda95d442da8b5cafd878e3c8b977634,269,1443.705775462963,93.57593226598621,29588865,95389470757.36432,142011.35687732341,1.8,5.4
0x86fd9759dfadff273423870dbc75e92828fba6a5,13,1136.4129861111112,616.3958035114429,1858708,200981591808.46155,248774.38461538462,61.53958035114429,98.25117567613296
0x4757d97449aca795510b9f3152c6a9019a3545c3,501,1297.6325347222223,7051.8583205796385,34786488,139716128054.4032,97123.33532934132,0.4808046081130309,1.4424138243390927
0x9646aa0f9152c126b42f7ce4698f35fa700c8cde,1015,1652.4142824074074,999.2288913671006,122155837,97144150157.39803,166335.13596059114,0.5727198047792343,0.6305401136713962
0xa9ef8855a7901b2886110b69e6ddb438e490167f,2022,2667.083275462963,2376.990656975796,287629838,96841971020.20624,206618.53165182986,0.0008850180907818,0.0026550542723454
0x9b4da8243fced2f6b0ea59c098ccc6724f309ea0,2571,2606.902939814815,47328.045186481395,413679958,54430658759.42785,260764.57681835862,0.0,0.0
