buyer_n-1_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0xd240e313ead8aaebdf724ff031275ae569bf1a2b,343,985.9390393518519,1659.2248648304032,37058450,32243204460.606415,126022.3002915452,0.06195787045477789,0.1793061197601137
0x273f38f0339739b73cd1802b4752b24339d5f748,908,1742.5699189814816,4139.613726204083,97695777,53198352516.39207,150689.10462555065,18.37186207082291,18.6996074218291
0x1fee17539596b7dcee1d1ad9f3240f9c242451df,524,2702.9528587962964,211.7150980382393,70941257,58970580145.81298,233100.71755725192,0.37473473232476395,0.6597837046340101
0xd3e361009a2320a3a58b9bfe5df13f5d6d3060e8,213,1441.4967013888888,351.97767292681664,40393520,79150159489.74179,303393.05633802817,0.6747187997550429,1.2259490801241117
0x196f239229aae65883802b5bb512e17084147ff6,10000,1307.74,10794.953873024968,2554313569,47576175697.8917,347014.9816,0.001158661626645913,0.0023173234615693045
0xefe52d1342560e854f1f787b5855a237e944c650,102,1136.2543171296297,1419.8193750997202,4429256,85735873936.2451,54901.91176470588,3.778937509972034,11.336812529916102
0xf15849b7a773746dda3efc72e171c83de06c5c68,14,1049.7293171296296,315.83097986,685203,38230666398.14286,91763.28571428571,31.412626424999996,42.48563352850554
0xc7882f13c2087ced94dfe00710260f01fd812d50,634,1372.0427777777777,3635.308080721019,119963308,91800788553.23344,268136.18927444797,16.46119157811078,49.20801316929383
0x01474aa315271b24bcaef5994e2287e506a49e6e,507,1354.227800925926,137.94285776596,76668250,43054296081.02761,179005.88362919132,0.004603193386399946,0.01015105925207339
0x150fa2afc4db393b4d231cbace82ecfc7d3b4be9,1683,1666.3388657407406,3224.8597924409805,159814324,104613997248.42484,145866.01128936422,0.0333796619392106,0.08269054713735939
0x3aa31682516718eabd7ab86c8926699bc7e38969,765,255.40445601851852,1244.6842400413059,77988729,8391760242.452288,129613.03267973856,3.2691003636830502,1.8370007918935256
0xd4b45281cabec17a638bebdafe9a12eac9a2ba5e,402,1642.212962962963,93.4669044194296,42499857,89544324696.28358,158371.13681592038,0.025671376630881804,0.029079243132461866
0x0aa568cfc61041aa215cce4a39b883004276a0be,774,1365.8856365740742,852.2631081519647,84758346,56835285391.192505,148151.95607235143,0.132,0.24268498099388022
0x5e91a95f9ce92c66f2b31261d92ff6d3d08a05e4,120,2827.9822685185186,10987.300062599006,13696281,25857894517.908333,220326.31666666668,48.55768258268215,145.61069608642686
0x19b9bbad0ce294b9e41718ff9704f536f045ba56,860,1441.3351273148148,293.80256268119444,114145753,58234233960.93372,183291.05813953487,0.1999543878331252,0.5998631634993755
0xf4a3e7b40866deb402e2a24ed4522e47f87fd392,106,715.9844560185185,823.540730670973,10483239,24449120605.5,139469.7358490566,6.880000228,10.509500314606802
