Feature,MeanDecreaseMSE_log,Std
Clothes_Stunt Jacket,5.6344555480991596e-05,5.395132455791369e-05
Eyes_Angry,5.54894989428234e-05,7.383894454943307e-05
Eyes_Robot,4.687618647578606e-05,4.9015541517983243e-05
Eyes_Sad,4.685005297198064e-05,7.601043785022418e-05
Eyes_Wide Eyed,4.679810703689946e-05,2.1529041534444558e-05
Hat_Halo,3.793971379452143e-05,5.263084685173628e-05
Eyes_Scumbag,3.689951645414746e-05,5.982283329120893e-05
Mouth_Bored Unshaven Kazoo,3.28811241798288e-05,2.0672956047514337e-05
Clothes_Tweed Suit,3.186894864311007e-05,2.327795674374184e-05
Mouth_Phoneme Vuh,3.0381725387046422e-05,4.754012457636108e-05
Eyes_Eyepatch,2.7027965904941053e-05,2.1096119150850545e-05
Mouth_Bored Party Horn,2.498942094159573e-05,1.3813084910418065e-05
Mouth_Bored Cigar,2.481259163876759e-05,1.5570726105206274e-05
Clothes_Tanktop,2.473373649052868e-05,8.459559653974693e-05
Clothes_Biker Vest,2.351212958831561e-05,0.00011781919201049337
Fur_Dark Brown,2.303096160204965e-05,5.1358267776968925e-05
Fur_Red,2.0279171268794415e-05,9.705698353227051e-06
Mouth_Bored Kazoo,2.024960879797866e-05,2.4575649621925603e-05
Eyes_Coins,2.021840800479624e-05,4.289966476747498e-05
Clothes_Rainbow Suspenders,1.7575027066540903e-05,2.4026491048229094e-05
Mouth_Bored Pipe,1.5223447985135419e-05,6.0413054150106476e-05
Clothes_Smoking Jacket,1.4207023526952023e-05,5.44229092437212e-05
Background_New Punk Blue,1.2375815938125978e-05,8.509656594821151e-05
Eyes_Crazy,1.1666212576827428e-05,4.253774983866819e-05
Eyes_Sleepy,1.138514111018174e-05,2.320659837833826e-05
Fur_Pink,1.0885731205967364e-05,4.892706412001734e-06
Background_Gray,1.084674396710783e-05,2.7805094808827834e-05
Hat_Party Hat 1,1.0766571737086394e-05,1.7170592180472874e-05
Earring_Silver Hoop,1.070777631728137e-05,0.00027150405921057925
Hat_Horns,9.952776164190435e-06,2.8915849298181682e-05
Hat_Cowboy Hat,9.696668754949345e-06,1.7269776006683032e-05
Hat_Safari,9.597947901746062e-06,3.950748245669145e-05
Mouth_Bored Dagger,9.31229767034969e-06,1.2094764158543552e-05
Clothes_Navy Striped Tee,7.612489661928956e-06,1.6937012687462538e-05
Mouth_Dumbfounded,7.534590700836174e-06,2.2689164960357188e-05
Clothes_Leather Punk Jacket,7.248134609016965e-06,4.558211325425209e-06
Mouth_Grin,6.7904045597921845e-06,3.0961616170219486e-05
Mouth_Bored Bubblegum,6.619728165041527e-06,6.371046785611868e-06
Earring_Gold Stud,5.140439795209284e-06,1.1678454655843702e-05
Mouth_Bored Unshaven Pipe,5.016429733650796e-06,0.00028182237824740273
Clothes_Tuxedo Tee,4.817062897366497e-06,7.239992615795786e-06
Clothes_Prom Dress,4.744197775008452e-06,1.4469312443202881e-05
Earring_Silver Stud,4.662695779489301e-06,2.5254656465640757e-05
Hat_Bunny Ears,4.5823922696641706e-06,8.126811214939764e-06
Eyes_Bloodshot,4.1157153401638615e-06,1.9837744219584915e-05
Clothes_Bandolier,3.3394564093403024e-06,7.212243003899295e-06
Clothes_Guayabera,3.2390882695132462e-06,1.3261641291221703e-05
Clothes_Leather Jacket,3.065971228832787e-06,0.00010717260016334312
Earring_Gold Hoop,2.9599677476233045e-06,2.0267042866268695e-05
